Lex-analyzer started at: 2024-11-12 09:27:08.025996

Token: VOID, Value: void, Line: 1
Token: VARIABLE, Value: main, Line: 1
Token: LPAREN, Value: (, Line: 1
Token: RPAREN, Value: ), Line: 1
Token: LBRACE, Value: {, Line: 1
Token: INTEGER, Value: int, Line: 2
Token: VARIABLE, Value: a, Line: 2
Token: ASSIGN, Value: =, Line: 2
Token: NUMBER, Value: 10, Line: 2
Token: SEMICOLON, Value: ;, Line: 2
Token: INTEGER, Value: int, Line: 3
Token: VARIABLE, Value: b, Line: 3
Token: ASSIGN, Value: =, Line: 3
Token: NUMBER, Value: 3, Line: 3
Token: SEMICOLON, Value: ;, Line: 3
Token: INTEGER, Value: int, Line: 4
Token: VARIABLE, Value: result, Line: 4
Token: SEMICOLON, Value: ;, Line: 4
Token: VARIABLE, Value: result, Line: 6
Token: ASSIGN, Value: =, Line: 6
Token: VARIABLE, Value: a, Line: 6
Token: MINUS, Value: -, Line: 6
Token: VARIABLE, Value: b, Line: 6
Token: SEMICOLON, Value: ;, Line: 6
Token: VARIABLE, Value: result, Line: 8
Token: ASSIGN, Value: =, Line: 8
Token: VARIABLE, Value: a, Line: 8
Token: TIMES, Value: *, Line: 8
Token: VARIABLE, Value: b, Line: 8
Token: SEMICOLON, Value: ;, Line: 8
Token: VARIABLE, Value: result, Line: 10
Token: ASSIGN, Value: =, Line: 10
Token: VARIABLE, Value: a, Line: 10
Token: INTEGER_DIVIDE, Value: ~/, Line: 10
Token: VARIABLE, Value: b, Line: 10
Token: SEMICOLON, Value: ;, Line: 10
Token: VARIABLE, Value: result, Line: 12
Token: ASSIGN, Value: =, Line: 12
Token: VARIABLE, Value: a, Line: 12
Token: MODULE, Value: %, Line: 12
Token: VARIABLE, Value: b, Line: 12
Token: SEMICOLON, Value: ;, Line: 12
Token: VARIABLE, Value: a, Line: 14
Token: INCREMENT, Value: ++, Line: 14
Token: SEMICOLON, Value: ;, Line: 14
Token: VARIABLE, Value: a, Line: 15
Token: DECREMENT, Value: --, Line: 15
Token: SEMICOLON, Value: ;, Line: 15
Token: BOOL, Value: bool, Line: 17
Token: VARIABLE, Value: isEqual, Line: 17
Token: ASSIGN, Value: =, Line: 17
Token: LPAREN, Value: (, Line: 17
Token: VARIABLE, Value: a, Line: 17
Token: EQUALS, Value: ==, Line: 17
Token: VARIABLE, Value: b, Line: 17
Token: RPAREN, Value: ), Line: 17
Token: SEMICOLON, Value: ;, Line: 17
Token: BOOL, Value: bool, Line: 18
Token: VARIABLE, Value: isNotEqual, Line: 18
Token: ASSIGN, Value: =, Line: 18
Token: LPAREN, Value: (, Line: 18
Token: VARIABLE, Value: a, Line: 18
Token: NOT_EQUALS, Value: !=, Line: 18
Token: VARIABLE, Value: b, Line: 18
Token: RPAREN, Value: ), Line: 18
Token: SEMICOLON, Value: ;, Line: 18
Token: BOOL, Value: bool, Line: 19
Token: VARIABLE, Value: greaterThan, Line: 19
Token: ASSIGN, Value: =, Line: 19
Token: LPAREN, Value: (, Line: 19
Token: VARIABLE, Value: a, Line: 19
Token: GREATER_THAN, Value: >, Line: 19
Token: VARIABLE, Value: b, Line: 19
Token: RPAREN, Value: ), Line: 19
Token: SEMICOLON, Value: ;, Line: 19
Token: BOOL, Value: bool, Line: 20
Token: VARIABLE, Value: lessThan, Line: 20
Token: ASSIGN, Value: =, Line: 20
Token: LPAREN, Value: (, Line: 20
Token: VARIABLE, Value: a, Line: 20
Token: LESS_THAN, Value: <, Line: 20
Token: VARIABLE, Value: b, Line: 20
Token: RPAREN, Value: ), Line: 20
Token: SEMICOLON, Value: ;, Line: 20
Token: BOOL, Value: bool, Line: 21
