Date,Airline,Departure,Arrival,OverallRating,ReportLink
13/01/2025,KLM,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,8,../flightlog/report_624841_KLM_1518.htm
09/01/2025,Garuda,SINSingapore Changi ,CGKJakarta Soekarno - Hatta ,9,../flightlog/report_624575_Garuda_839.htm
07/01/2025,Southwest Airlines,MCOOrlando International - Florida,MKEMilwaukee General Mitchell Int'l  - Wisconsin,6,../flightlog/report_624637_Southwest Airlines_3424.htm
07/01/2025,Brussels Airlines,OSLOslo Gardermoen ,BRUBrussels Brussels ,2,../flightlog/report_624577_Brussels Airlines_2284.htm
07/01/2025,SAS Scandinavian Airlines,ARNStockholm Arlanda ,OSLOslo Gardermoen ,5,../flightlog/report_624576_SAS Scandinavian Airlines_843.htm
06/01/2025,EasyJet Europe,ORYParis Orly ,NCENice Cote D'Azur ,8,../flightlog/report_624272_EasyJet Europe_4861.htm
05/01/2025,Garuda,CGKJakarta Soekarno - Hatta ,SINSingapore Changi ,8,../flightlog/report_624160_Garuda_838.htm
02/01/2025,EasyJet Europe,NCENice Cote D'Azur ,CDGParis Charles De Gaulle ,7,../flightlog/report_623912_EasyJet Europe_4526.htm
01/01/2025,Southwest Airlines,MKEMilwaukee General Mitchell Int'l  - Wisconsin,MCOOrlando International - Florida,6,../flightlog/report_623904_Southwest Airlines_853.htm
31/12/2024,Air New Zealand,AKLAuckland Auckland International Airport ,CHCChristchurch  ,10,../flightlog/report_623817_Air New Zealand_535.htm
31/12/2024,Air New Zealand,CHCChristchurch  ,PMRPalmerston North  ,9,../flightlog/report_623818_Air New Zealand_5186.htm
30/12/2024,Qatar Airways,DOHDoha International ,CGKJakarta Soekarno - Hatta ,7,../flightlog/report_623682_Qatar Airways_956.htm
29/12/2024,Delta Air Lines,JFKNew York John F Kennedy Int'l - New York,BCNBarcelona El Prat ,8,../flightlog/report_624840_Delta Air Lines_168.htm
23/12/2024,Air New Zealand,PMRPalmerston North  ,AKLAuckland Auckland International Airport ,8,../flightlog/report_623200_Air New Zealand_5122.htm
21/12/2024,Air Canada,YYZToronto Pearson Int'l - Ontario,BOGSantafe De Bogota Eldorado Intl ,6,../flightlog/report_623033_Air Canada_94.htm
20/12/2024,Gulf Air,BAHBahrain  ,SINSingapore Changi ,8,../flightlog/report_623118_Gulf Air_165.htm
20/12/2024,Gulf Air,MEDMadinah Mohammad Bin Abdulaziz ,BAHBahrain  ,7,../flightlog/report_623120_Gulf Air_178.htm
19/12/2024,Ryanair,CRLCharleroi Charleroi Brussels-South ,ARNStockholm Arlanda ,5,../flightlog/report_623029_Ryanair_4629.htm
16/12/2024,Delta Air Lines,BCNBarcelona El Prat ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_622844_Delta Air Lines_169.htm
10/12/2024,Wingo,MDERionegro  ,BOGSantafe De Bogota Eldorado Intl ,9,../flightlog/report_623032_Wingo_7271.htm
08/12/2024,Air Europa,PMIPalma de Mallorca Son San Juan ,BCNBarcelona El Prat ,8,../flightlog/report_622319_Air Europa_6060.htm
06/12/2024,Asiana Airlines,CJUCheju Int'l ,GMPSeoul KimpO International ,10,../flightlog/report_621952_Asiana Airlines_8982.htm
06/12/2024,Asiana Airlines,GMPSeoul KimpO International ,CJUCheju Int'l ,10,../flightlog/report_621951_Asiana Airlines_8965.htm
05/12/2024,Edelweiss Air,HKTPhuket Phuket International ,ZRHZurich Kloten / International ,9,../flightlog/report_622148_Edelweiss Air_51.htm
03/12/2024,American Airlines,LHRLondon Heathrow ,CLTCharlotte Douglas - North Carolina,7,../flightlog/report_622032_American Airlines_733.htm
02/12/2024,Aer Lingus,SNNShannon  ,LHRLondon Heathrow ,8,../flightlog/report_621910_Aer Lingus_386.htm
30/11/2024,Air Europa,BCNBarcelona El Prat ,PMIPalma de Mallorca Son San Juan ,9,../flightlog/report_621778_Air Europa_6007.htm
28/11/2024,Qatar Airways,CGKJakarta Soekarno - Hatta ,DOHDoha International ,9,../flightlog/report_621609_Qatar Airways_955.htm
28/11/2024,Transavia Airlines,RTMRotterdam The Haque ,BCNBarcelona El Prat ,8,../flightlog/report_621690_Transavia Airlines_6063.htm
