Airline,Country
ASL Airlines France,Francia
Adria Airways,Eslovenia
Aegean Airlines,Grecia
Aer Lingus,Irlanda
Aeroflot,Rusia
Aerolineas Argentinas,Argentina
Aeromexico,México
Aeromexico Connect,México
Aerosvit Airlines,Ucrania
Aigle Azur,Francia
Air Algerie,Argelia
Air Arabia,Emiratos Árabes Unidos
Air Astana,Kazajistán
Air Baltic,Letonia
Air Berlin,Alemania
Air Busan,Corea del Sur
Air Canada,Canadá
Air Canada Jetz,Canadá
Air Canada Rouge,Canadá
Air Caraibes,Francia
Air China,China
Air Corsica,Francia
Air Dolomiti,Italia
Air Europa,España
Air France,Francia
Air Horizons,Francia
Air Iceland Connect,Islandia
Air India,India
Air Malta,Malta
Air New Zealand,Nueva Zelanda
Air North,Canadá
Air Pacific,Fiyi
Air Tahiti,Polinesia Francesa
Air Transat,Canadá
AirAsia,Malasia
AirAsia X,Malasia
AirAsia Zest,Filipinas
AirExplore,Eslovaquia
Airbus Industrie,Francia
Airitaly,Italia
Airlink South Africa,Sudáfrica
Airphil Express,Filipinas
Alaska Airlines,Estados Unidos
Alitalia,Italia
All Nippon Airways,Japón
American Airlines,Estados Unidos
Animawings,Rumania
Arkia,Israel
Asiana Airlines,Corea del Sur
Atlant-Soyuz Airlines,Rusia
Atlantic Southeast Airlines,Estados Unidos
Atlas Jet,Turquía
Austral,Argentina
Austrian Airlines,Austria
Austrian Arrows,Austria
Avianca,Colombia
Avianca Brasil,Brasil
Avianca El Salvador,El Salvador
Azimut,Rusia
Azul Linhas Aereas,Brasil
Azur Air,Rusia
Bangkok Airways,Tailandia
Batavia,Indonesia
Batik Air,Indonesia
Belavia,Bielorrusia
Binter Canarias,España
Blue Air,Rumania
Bora Jet,Turquía
Breeze Airways,Estados Unidos
British Airways,Reino Unido
Brussels Airlines,Bélgica
CSA,República Checa
CanaryFly,España
Cathay Dragon,Hong Kong
Cathay Pacific,Hong Kong
Cebu Pacific Airlines,Filipinas
China Airlines,Taiwán
China Eastern Airlines,China
China Southern Airlines,China
Citilink,Indonesia
Citilink Garuda Indonesia,Indonesia
CityJet,Irlanda
Condor,Alemania
Continental Airlines,Estados Unidos
