"Date:September 17, 1908","Location:Fort Myer, Virginia",Aboard:2   (passengers:1  crew:1),Fatalities:1   (passengers:1  crew:0),"Summary:During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
"Date:September 07, 1909","Location:Juvisy-sur-Orge, France",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:0),"Summary:Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
"Date:September 17, 1908","Location:Fort Myer, Virginia",Aboard:2   (passengers:1  crew:1),Fatalities:1   (passengers:1  crew:0),"Summary:During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
"Date:September 07, 1909","Location:Juvisy-sur-Orge, France",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:0),"Summary:Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
"Date:July 12, 1912","Location:Atlantic City, New Jersey",Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),"Summary:First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
"Date:August 06, 1913","Location:Victoria, British Columbia, Canada",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
"Date:September 09, 1913",Location:Over the North Sea,Aboard:20   (passengers:?  crew:?),Fatalities:14   (passengers:?  crew:?),Summary:The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
"Date:October 17, 1913","Location:Near Johannisthal, Germany",Aboard:28   (passengers:?  crew:?),Fatalities:28   (passengers:?  crew:?),"Summary:Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
"Date:March 05, 1915","Location:Tienen, Belgium",Aboard:41   (passengers:0  crew:41),Fatalities:17   (passengers:0  crew:17),Summary:Crashed into trees while attempting to land after being shot down by British and French aircraft.
"Date:September 03, 1915","Location:Off Cuxhaven, Germany",Aboard:19   (passengers:?  crew:?),Fatalities:19   (passengers:?  crew:?),"Summary:Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
"Date:July 28, 1916","Location:Near Jambol, Bulgeria",Aboard:20   (passengers:?  crew:?),Fatalities:20   (passengers:?  crew:?),"Summary:Crashed near the Black Sea, cause unknown."
"Date:September 24, 1916","Location:Billericay, England",Aboard:22   (passengers:?  crew:?),Fatalities:22   (passengers:?  crew:?),Summary:Shot down by British aircraft crashing in flames.
"Date:October 01, 1916","Location:Potters Bar, England",Aboard:19   (passengers:0  crew:19),Fatalities:19   (passengers:0  crew:19),Summary:Shot down in flames by the British 39th Home Defence Squadron.
"Date:November 21, 1916","Location:Mainz, Germany",Aboard:28   (passengers:?  crew:?),Fatalities:27   (passengers:?  crew:?),Summary:Crashed in a storm.
"Date:November 28, 1916","Location:Off West Hartlepool, England",Aboard:20   (passengers:?  crew:?),Fatalities:20   (passengers:?  crew:?),Summary:Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
"Date:March 04, 1917","Location:Near Gent, Belgium",Aboard:20   (passengers:?  crew:?),Fatalities:20   (passengers:?  crew:?),Summary:Caught fire and crashed.
"Date:March 30, 1917",Location:Off Northern Germany,Aboard:23   (passengers:?  crew:?),Fatalities:23   (passengers:?  crew:?),Summary:Struck by lightning and crashed into the Baltic Sea.
"Date:May 14, 1917","Location:Near Texel Island, North Sea",Aboard:21   (passengers:?  crew:?),Fatalities:21   (passengers:?  crew:?),"Summary:Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
"Date:June 14, 1917","Location:Off Vlieland Island, North Sea",Aboard:24   (passengers:?  crew:?),Fatalities:24   (passengers:?  crew:?),Summary:Shot down by British aircraft.
"Date:June 17, 1917","Location:Near Yarmouth, England",Aboard:16   (passengers:?  crew:?),Fatalities:14   (passengers:?  crew:?),Summary:Shot down by aircraft.
"Date:August 21, 1917",Location:Off western Denmark,Aboard:18   (passengers:?  crew:?),Fatalities:18   (passengers:?  crew:?),Summary:Shot down by British aircraft.
"Date:October 20, 1917","Location:Near Luneville, France",Aboard:18   (passengers:?  crew:?),Fatalities:18   (passengers:?  crew:?),Summary:Shot down by French anti-aircraft fire.
"Date:April 07, 1918",Location:Over the Mediterranean,Aboard:23   (passengers:?  crew:?),Fatalities:23   (passengers:?  crew:?),Summary:Exploded and crashed into the sea off the southern coast of Italy.
"Date:August 05, 1918","Location:Off Helgoland Island, Germany",Aboard:22   (passengers:?  crew:?),Fatalities:22   (passengers:?  crew:?),"Summary:Shot down by British aircraft crashing from a height of 17,000 ft."
"Date:August 11, 1918","Location:Ameland Island, North Sea",Aboard:19   (passengers:?  crew:?),Fatalities:19   (passengers:?  crew:?),Summary:Shot down by british aircraft.
"Date:December 16, 1918","Location:Elizabeth, New Jersey",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
"Date:May 25, 1919","Location:Cleveland, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
"Date:July 19, 1919","Location:Dix Run, Pennsylvania",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The mail plane crashed under unknown circumstances.
"Date:July 21, 1919","Location:Chicago, Illinois",Aboard:?   (passengers:?  crew:?),Fatalities:3   (passengers:2  crew:1),"Summary: The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
"Date:August 02, 1919","Location:Verona, Italy",Aboard:14   (passengers:12  crew:2),Fatalities:14   (passengers:12  crew:2),Summary:As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
"Date:October 02, 1919","Location:Newcastle, England",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:?
"Date:October 14, 1919","Location:Cantonsville, Maryland",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
"Date:October 20, 1919","Location:English Channel off Forkstone, Kent",Aboard:0   (passengers:0  crew:1),Fatalities:0   (passengers:0  crew:0),Summary:Crashed into the sea while attempting to land in fog.
"Date:October 30, 1919","Location:Long Valley, New Jersey",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
"Date:December 11, 1919","Location:Catherham, Surrey, UK",Aboard:1   (passengers:1  crew:1),Fatalities:1   (passengers:1  crew:1),Summary:Crashed in a field while attemptting to land.
"Date:March 10, 1920","Location:New Paris, Indiana",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
"Date:March 30, 1920","Location:Newark, New Jersey",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
"Date:April 10, 1920","Location:Newark, New Jersey",Aboard:2   (passengers:1  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
"Date:April 11, 1920","Location:Heller Field, New Jersey",Aboard:2   (passengers:1  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The aircraft crashed while on approach for unknown reasons.
"Date:May 12, 1920","Location:Oskaloosa, Iowa",Aboard:2   (passengers:1  crew:1),Fatalities:1   (passengers:1  crew:0),"Summary:In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
"Date:June 06, 1920","Location:Cleveland, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The aircraft suffered engine failure and crashed shortly after taking off.
"Date:July 20, 1920","Location:Cartagena, Columbia",Aboard:1   (passengers:1  crew:1),Fatalities:1   (passengers:1  crew:1),Summary:Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
"Date:August 16, 1920","Location:Bedford, England",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The plane crashed during a cargo flight under unknown circumstances.
"Date:August 16, 1920","Location:College Park, Maryland",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
"Date:September 01, 1920","Location:Morristown, New Jersey",Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
"Date:September 15, 1920","Location:Pemberville, Ohio",Aboard:2   (passengers:?  crew:?),Fatalities:2   (passengers:?  crew:?),Summary:The pilot crashed after attempting to make an emergency landing after the engine caught fire.
"Date:September 27, 1920","Location:Hillersburg, Pennsylvania",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
"Date:October 02, 1920","Location:Off Port Vendres, France",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:Crashed into the Mediterranean while on a mail flight.
"Date:October 05, 1920","Location:Valencia, Spain",Aboard:2   (passengers:1  crew:1),Fatalities:2   (passengers:1  crew:1),Summary:While on a mail flight the plane crashed while attempting to land.
"Date:October 15, 1920","Location:Batavia, Illinois",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:While attempting to land in fog the aircraft hit an obstruction and crashed.
"Date:November 07, 1920","Location:Tie Siding, Wyoming",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The aircraft crashed into a mountain in poor weather condtions.
"Date:December 14, 1920","Location:London, England",Aboard:8   (passengers:6  crew:2),Fatalities:4   (passengers:2  crew:2),Summary:The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
"Date:December 24, 1920","Location:Barcelona, Spain",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The aircraft stalled and crashed when an engine failed.
"Date:February 03, 1921","Location:Mendotta, Minnisota",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
"Date:February 09, 1921","Location:La Crosse, Wisconsin",Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),Summary:Crashed for unknown reasons. Both pilots and the mechanic were killed.
"Date:February 15, 1921",Location:Off Gibraltar,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
"Date:February 22, 1921","Location:Elko, Nevada",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:Shortly after taking off, the aircraft stalled and crashed ."
"Date:April 06, 1921","Location:Point Cook, Australia",Aboard:2   (passengers:0  crew:0),Fatalities:2   (passengers:0  crew:0),"Summary:Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
"Date:April 21, 1921","Location:Mitchel Field, NY",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:After taking off the aircraft stalled and crashed.
"Date:April 29, 1921","Location:Cleveland, Ohio",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
"Date:May 17, 1921","Location:Rock Springs, Wyoming",Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:Crashed while attempting to land.
"Date:August 14, 1921","Location:Toulouse, France",Aboard:2   (passengers:?  crew:?),Fatalities:2   (passengers:?  crew:?),Summary:?
