Date,Year,Location,Aboard,Fatalities,Summary,Cause
September 17, 1965,Chances Peak, Montserrat,30 (passengers:21 crew:9),30 (passengers:21 crew:9),"Crashed into mountains 32 miles southwest of its destination while descending for a landing. Pilot became lost and disoriented. Crew did not determine their position before descending. Navigation error. The aircraft was named 'Clipper Constitution.'",Provocado
September 27, 1965,Bao Trai, Vietnam,3 (passengers:1 crew:2),3 (passengers:1 crew:2),"Collided with houses during an uncontrolled descent.",Provocado
October 08, 1965,Near Patian, Pakistan,4 (passengers:0 crew:4),4 (passengers:0 crew:4),"The cargo plane did not clear a ridge and crashed.",Provocado
October 17, 1965,Bucaramanga, Colombia,19 (passengers:15 crew:4),19 (passengers:15 crew:4),"Midair collision between a Douglas DC-3 and Piper PA-18. Eighteen killed on the DC-3, one on the Piper.",Provocado
October 18, 1965,Near Hanoi, Vietnam,13 (passengers:9 crew:4),13 (passengers:9 crew:4),"Shot down by Communist ground fire.",Azar
October 20, 1965,Near Manila, Philippines,37 (passengers:34 crew:3),1 (passengers:1 crew:0),"The aircraft veered to the left after taking off. The pilot lost control and crashed. Failure of the pilot to set the rudder trim tab to the proper position before takeoff and during the flight. Undetected deflection of the rudder trim tab.",Provocado
October 27, 1965,London, England,36 (passengers:30 crew:6),36 (passengers:30 crew:6),"The aircraft made two unsuccessful attempts at landing at Heathrow Airport and overshot the runway. The third time, the plane again overshot the runway, began climbing, then suddenly dove into the runway at a steep angle. Pilot error. Low visibility, crew fatigue, disorientation, lack of experience in overshooting in fog, over-reliance on instruments and incorrect indication of position by instruments.",Provocado
November 02, 1965,Obock, French Somaliland,30 (passengers:25 crew:5),30 (passengers:25 crew:5),"The plane crashed and exploded as it attempted to land at Obock. The civilians aboard included a hand-ball team.",Provocado
November 03, 1965,Off Puerto Lemon, Costa Rica,68 (passengers:59 crew:9),68 (passengers:59 crew:9),"Disappeared over the Gulf after the pilot sent a distress message reporting a fire in the No. 3 engine. Cause unknown.",Azar
June 15, 1953,Near Reo Copiapo, Chile,7 (passengers:5 crew:2),7 (passengers:5 crew:2),"Crashed after taking off. Engine fire.",Provocado
June 16, 1953,Mount Phou-Lassy, French Indo-China,34 (passengers:31 crew:3),34 (passengers:31 crew:3),"Crashed after on-board fire. Possibly shot down.",Azar
June 17, 1953,Sao Paulo, Brazil,17 (passengers:10 crew:7),17 (passengers:10 crew:7),"Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night.",Provocado
July 12, 1953,Pacific Ocean, 325 miles east of Wake Island,58 (passengers:50 crew:8),58 (passengers:50 crew:8),"Lost at sea while en route from Wake Island to Honolulu, Hawaii, approximately 325 miles east of Wake Island. Cause not determined, but there were thunderstorms and turbulence in the area. Fourteen bodies and all life rafts were recovered. The plywood panel from the navigator's table was recovered with the words 'falling in' written on it. There is some speculation that a bomb caused the accident. The aircraft was named 'The Royal Hawaiian.'",Azar
July 17, 1953,Near Milton, Florida,46 (passengers:40 crew:6),44 (passengers:39 crew:5),"The co-pilot failed to maintain a sufficient rate of climb after becoming airborne, struck obstacles and crashed into a wooded area. The pilot suffered from spatial disorientation immediately after liftoff.",Provocado
