Date,Location,Operator,Aboard,Fatalities,Summary
"Date:January 05, 2000","Location:Abuja, Nigeria",Operator:Skypower Express Airways,Aboard:16   (passengers:13  crew:3),Fatalities:1   (passengers:1  crew:0),Summary:During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.
"Date:January 10, 2000","Location:Niederhasli, Switzerland",Operator:Crossair,Aboard:10   (passengers:7  crew:3),Fatalities:10   (passengers:7  crew:3),"Summary:The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning left and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive. The commander was not systematically acquainted by Crossair with the specific features of western systems and cockpit procedures. Specifically both pilots  had trained in the Soviet Union, where the attitude indicator works differently. Theirs show an icon of the airplane changing position in front of a fixed horizon, mimicking what an observer outside the plane would see if there was daylight; but western type indicators show a fixed airplane icon and an artificial horizon changing position, mimicking what the pilot would see.  Consequently the diagonal line on the display is angled the same way for a right turn on one type as for a left turn on the other type."
"Date:January 13, 2000","Location:Off Marsa el-Brega, Libya",Operator:Avisto,Aboard:41   (passengers:38  crew:3),Fatalities:22   (passengers:21  crew:1),"Summary:The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines."
"Date:January 15, 2000","Location:San Jose, Costa Rica",Operator:TACA,Aboard:20   (passengers:17  crew:3),Fatalities:5   (passengers:4  crew:1),Summary:The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off without clearance.
"Date:January 30, 2000","Location:Off Abidjan, Ivory Coast",Operator:Kenya Airways,Aboard:179   (passengers:169  crew:10),Fatalities:169   (passengers:159  crew:10),"Summary:The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea."
"Date:January 31, 2000","Location:Off Point Mugu, California",Operator:Alaska Airlines,Aboard:88   (passengers:83  crew:5),Fatalities:88   (passengers:83  crew:5),"Summary:The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed."
"Date:February 02, 2000","Location:Tehran, Iran",Operator:Military - Islamic Republic of Iran Air Force,Aboard:8   (passengers:?  crew:?),Fatalities:8   (passengers:?  crew:?),Summary:Crashed on take off.
"Date:February 16, 2000","Location:Sacramento, California",Operator:Emery Worldwide,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),Summary:The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.
"Date:March 05, 2000","Location:Burbank, Calilfornia",Operator:Southwest Airlines,Aboard:142   (passengers:137  crew:5),Fatalities:0   (passengers:0  crew:0),"Summary:While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver."
"Date:March 09, 2000","Location:Moscow, Russia",Operator:Vologodskiye Airlines,Aboard:9   (passengers:4  crew:5),Fatalities:9   (passengers:4  crew:5),"Summary:The aircraft climbed to an altitude of about 100 ft., stalled, lost control and crashed. Ice build up on the wings. Flaps incorrectly set."
"Date:March 17, 2000","Location:Near Kuna Yala, Panama",Operator:Aeroperlas,Aboard:10   (passengers:8  crew:2),Fatalities:10   (passengers:8  crew:2),"Summary:Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time."
"Date:March 17, 2000","Location:Ennadai Lake, Canada",Operator:Points North Air Services,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air."
"Date:March 22, 2000","Location:Herreira, Spain",Operator:Military - Ejrcito del Aire,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),Summary:Crashed while attempting to land in poor weather.
"Date:March 24, 2000","Location:Kadirana, Sri Lanka",Operator:Sky Cabs,Aboard:8   (passengers:0  crew:8),Fatalities:6   (passengers:0  crew:6),"Summary:The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses."
"Date:March 25, 2000","Location:Huambo, Angola",Operator:Uralex,Aboard:33   (passengers:29  crew:4),Fatalities:3   (passengers:3  crew:0),"Summary:The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff. Brake failure as the pilot attempted to avoid a hole in the runway."
"Date:March 30, 2000","Location:Near Anuradhapura, Sri Lanka",Operator:Military - Sri Lankan Air Force,Aboard:40   (passengers:36  crew:4),Fatalities:40   (passengers:36  crew:4),Summary:The crew reported engine trouble 10 minutes before it crashed while en route. Members of the Liberation Tigers confessed to firing missiles at the plane.
"Date:April 05, 2000","Location:Marianna, Florida",Operator:Bankair,Aboard:3   (passengers:0  crew:3),Fatalities:3   (passengers:0  crew:3),"Summary:While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway."
"Date:April 19, 2000","Location:Samal Island, Philippines",Operator:Air Philippines,Aboard:131   (passengers:124  crew:7),Fatalities:131   (passengers:124  crew:7),"Summary:The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet."
"Date:April 19, 2000","Location:Pepa ,Congo",Operator:Military - Centrafricain Airlines,Aboard:24   (passengers:20  crew:4),Fatalities:24   (passengers:20  crew:4),"Summary:The military flight crashed after losing its engines after striking birds,unable to return to land."
"Date:April 29, 2000","Location:Bapi, Papua New Guinea",Operator:North Coast Aviation,Aboard:4   (passengers:1  crew:3),Fatalities:4   (passengers:1  crew:3),"Summary:While taking off the plane struck trees at the end of the runway, crashed and burned."
"Date:May 02, 2000","Location:Lyon Satolas, France",Operator:Northern Executive Aviation,Aboard:5   (passengers:3  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine."
"Date:May 03, 2000","Location:Kurupung, Guyana",Operator:Trans Guyana Airways,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),Summary:The cargo plane crashed into a cloud covered mountain.
"Date:May 10, 2000","Location:Kaunakakai, Hawaii",Operator:Price Aircraft Company,Aboard:6   (passengers:4  crew:2),Fatalities:6   (passengers:4  crew:2),Summary:While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach.
"Date:May 17, 2000","Location:Moanda, Gabon",Operator:Avirex,Aboard:10   (passengers:8  crew:2),Fatalities:3   (passengers:2  crew:1),Summary:The charter flight crashed while on approach in fog and mist.
"Date:May 21, 2000","Location:Near Wilkes-Barre, Pennsylvania",Operator:Executive Airlines,Aboard:19   (passengers:17  crew:2),Fatalities:19   (passengers:17  crew:2),"Summary:The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage."
"Date:May 25, 2000","Location:Near Manila, Philippines",Operator:Philippine Air Lines,Aboard:298   (passengers:284  crew:14),Fatalities:1   (passengers:1  crew:0),"Summary:A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump."
"Date:May 31, 2000","Location:Off Whyalla, Australia",Operator:Whyalla Airlines,Aboard:8   (passengers:1  crew:7),Fatalities:8   (passengers:1  crew:7),"Summary:En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine."
"Date:June 05, 2000","Location:Accra, Ghana",Operator:Ghana Airlink,Aboard:52   (passengers:48  crew:4),Fatalities:7   (passengers:7  crew:0),"Summary:The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm."
"Date:June 22, 2000","Location:Shitai, China",Operator:Wuhan Airlines,Aboard:44   (passengers:40  crew:4),Fatalities:44   (passengers:40  crew:4),"Summary:The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash."
"Date:June 23, 2000","Location:Boca Raton, Florida",Operator:Universal Jet Aviation,Aboard:3   (passengers:1  crew:2),Fatalities:3   (passengers:1  crew:2),Summary:Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.
"Date:June 27, 2000","Location:Off Shimano, Japan",Operator:Military - Japanese Air Self-Defence Force,Aboard:5   (passengers:0  crew:5),Fatalities:5   (passengers:0  crew:5),Summary:Crashed into the sea during a test flight.
"Date:July 02, 2000","Location:Off Cagayancillo, Philippines",Operator:Military - Philippine Air Force,Aboard:15   (passengers:11  crew:4),Fatalities:14   (passengers:10  crew:4),"Summary:Engine problems forced the pilot to return to the airport. However, he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid, chief of the southwestern military command, killed."
"Date:July 08, 2000","Location:Near Villahermosa, Mexico",Operator:Aerocaribe,Aboard:19   (passengers:17  crew:2),Fatalities:19   (passengers:17  crew:2),"Summary:The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR, deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground."
"Date:July 09, 2000","Location:Villavicencio, Colombia",Operator:CORAL Colombia,Aboard:19   (passengers:15  crew:4),Fatalities:13   (passengers:9  crew:4),"Summary:The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio."
"Date:July 13, 2000","Location:Raleigh, North Carolina",Operator:Win Win Aviation,Aboard:3   (passengers:2  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight."
"Date:July 17, 2000","Location:Patna, India",Operator:Indian Airlines/Alliance Airlines,Aboard:58   (passengers:52  crew:6),Fatalities:55   (passengers:49  crew:6),"Summary:While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground."
"Date:July 19, 2000","Location:Linneus, Maine",Operator:Airwave Transport,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),"Summary:After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling."
"Date:July 20, 2000","Location:Nassau, Bahamas",Operator:Allied Air Freight,Aboard:2   (passengers:0  crew:2),Fatalities:2   (passengers:0  crew:2),Summary:The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.
"Date:July 21, 2000","Location:Maui, Hawaii",Operator:Blue Hawaiian Helicopters,Aboard:7   (passengers:6  crew:1),Fatalities:7   (passengers:6  crew:1),"Summary:The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather."
"Date:July 25, 2000","Location:Gonesse, France",Operator:Air France,Aboard:109   (passengers:100  crew:9),Fatalities:109   (passengers:100  crew:9),"Summary:The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history. The French government convicted Continental and a Continental mechanic of a crime but an appeals court reversed the decision."
"Date:July 26, 2000","Location:Mafraq, Jordan",Operator:Military - Royal Jordanian Air Force,Aboard:13   (passengers:?  crew:?),Fatalities:13   (passengers:?  crew:?),Summary:Crashed on a training flight.
"Date:July 27, 2000","Location:Jodhura, Nepal",Operator:Royal Nepal Airlines,Aboard:25   (passengers:22  crew:3),Fatalities:25   (passengers:22  crew:3),"Summary:The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog."
"Date:August 02, 2000","Location:Cubatao, Brazil",Operator:Air taxi - Lider Air Taxi,Aboard:6   (passengers:5  crew:1),Fatalities:6   (passengers:5  crew:1),"Summary:The helicopter exploded and crashed from a height of 1,000 ft."
"Date:August 06, 2000","Location:Puerto Montt, Chile",Operator:Military - Fuerza Area de Chile,Aboard:14   (passengers:10  crew:4),Fatalities:14   (passengers:10  crew:4),Summary:The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.
"Date:August 09, 2000","Location:Burlington Township, New Jersey",Operator:Patuxent Airways / Private,Aboard:11   (passengers:8  crew:3),Fatalities:11   (passengers:8  crew:3),"Summary:The two aircraft collided over a central New Jersey subdivision, scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules."
"Date:August 12, 2000","Location:Near Tshikapa, Congo",Operator:Staer Air,Aboard:27   (passengers:21  crew:6),Fatalities:27   (passengers:21  crew:6),Summary:The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.
"Date:August 23, 2000","Location:Off Manama, Bahrain",Operator:Gulf Air,Aboard:143   (passengers:135  crew:8),Fatalities:143   (passengers:135  crew:8),"Summary:The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a ""spatial disorientation"" to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude."
"Date:September 02, 2000","Location:Mount Montezuma, Colombia",Operator:Military - Fuerza Area Colombiana,Aboard:7   (passengers:0  crew:7),Fatalities:7   (passengers:0  crew:7),Summary:Flew into Mt. Montezuma.
"Date:September 04, 2000","Location:Near Burketown, Australia",Operator:Charter - Central Air,Aboard:8   (passengers:7  crew:1),Fatalities:8   (passengers:7  crew:1),"Summary:Shortly after departing Perth and after the aircraft had climbed through its assigned altitude, the pilots speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions over the next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking off from Perth, the aircraft impacted the ground 65 km ESE of Burketown, Queensland, and was destroyed. Incapacitation of the pilot and passengers a result of hypobaric hypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised, or why the pilot and passengers did not receive supplemental oxygen."
"Date:September 16, 2000","Location:Kumarapura, Sri Lanka",Operator:Military - Sri Lanka Air Force,Aboard:14   (passengers:12  crew:2),Fatalities:14   (passengers:12  crew:2),"Summary:The Air Force helicopter was on a domestic flight when it cashed into mountainous terrain 75 km from Colombo. The helicopters pilot had contacted air traffic controllers saying he had problems with visibility and was lowering his altitude. Sri Lanka, Muslim Congress leader M. H. M. Ashraff, 52, along with members of his entourage were killed."
"Date:October 06, 2000","Location:Reynosa, Mexico",Operator:Aeromexico,Aboard:88   (passengers:83  crew:5),Fatalities:0   (passengers:0  crew:0),"Summary:The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground."
"Date:October 08, 2000","Location:Port Radium, Northwest Territories, Canada",Operator:Summit Air Charters,Aboard:3   (passengers:1  crew:2),Fatalities:3   (passengers:1  crew:2),"Summary:The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight, the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons, the pilot descended below the elevation of the terrain surrounding the airstrip, resulting in a controlled-flight-into-terrain accident."
"Date:October 10, 2000","Location:Wichita, Kansas",Operator:Bombardier Aerospace,Aboard:3   (passengers:0  crew:3),Fatalities:2   (passengers:0  crew:2),"Summary:The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration."
"Date:October 16, 2000","Location:Hillsboro, Missouri",Operator:Private,Aboard:3   (passengers:2  crew:1),Fatalities:3   (passengers:2  crew:1),"Summary:The twin engine Cessna crashed into a densely wooded area, 30 miles south of St. Louis, 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6,500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan, 66, Governor of Missouri was killed in the accident along with a campaign aide and his son, Roger, who was piloting the plane."
"Date:October 19, 2000","Location:Near Sam Neua, Laos",Operator:Lao Aviation,Aboard:17   (passengers:15  crew:2),Fatalities:8   (passengers:8  crew:0),"Summary:The aircraft crashed into a mountain at 4,800 ft., in poor weather, while making an apporach to Sam Neua."
"Date:October 25, 2000","Location:Near Batumi, Republic of Georgia",Operator:Military - Russian Air Force,Aboard:86   (passengers:75  crew:11),Fatalities:86   (passengers:75  crew:11),"Summary:Communications were lost with the aircraft as it approached Mt. Tirina at 4,250 feet, preparing to land at Batumi. The aircraft was seen rapidly descending into mountainous terrain. A large explosion followed as the plane crashed somewhere between the towns of  Batumi and Kabuleti in heavy rain. Navigation error made by the crew in the final stage of the landing approach. Error by the Batumi ATC who failed to locate the plane and conform it to the crew. Erroneous data shown by ground radio-technical facilities at Batumi airport."
"Date:October 31, 2000","Location:Taipei, Taiwan",Operator:Singapore Airlines,Aboard:179   (passengers:159  crew:20),Fatalities:83   (passengers:79  crew:4),"Summary:Weather conditions at the time were extremely poor due to typhoon Xiang Sane. A NOTAM issued on Aug 31, 2000 indicated that Runway 05R was closed due to construction between Sep 13 and Nov 22. After reaching the end of Taxiway NP, the plane turned onto Taxiway N1 and then made a 180-degree turn onto Runway 05R and began its takeoff roll. Approximately 3.5 seconds after reaching V1, the aircraft hit construction equipment on the runway, crashed back to the ground, broke up and burst into flames. The pilot attempted to take off from a closed runway. The following factors contributed to the accident. Of three lights used to guide the aircraft onto the correct runway, one was not working and another dim. The airport lacked ""guard lights"" used to help pilots navigate from the taxiway to the correct runway during times of poor visibility. International regulations require that a large white X be placed on the tarmac at the entrance to a closed runway, but there was none at the entrance of runway 5R. Whether there should have been, in this case, however, is itself a contentious matter as the runway remained open for taxiing."
"Date:October 31, 2000","Location:Near Monaquimbundo, Angola",Operator:Aca-Ancargo,Aboard:44   (passengers:39  crew:5),Fatalities:44   (passengers:39  crew:5),Summary:The aircraft exploded in midair 20 minutes after taking off from Saurimo. UNITA rebels claimed they shot down the plane.
"Date:November 07, 2000","Location:Luabo, Democratic Republic Congo",Operator:Malu Aviation,Aboard:11   (passengers:5  crew:6),Fatalities:2   (passengers:1  crew:1),"Summary:Due to a blown tire on takeoff the pilot aborted the takeoff, overran the runway, came to rest in a cemetery and caught fire."
"Date:November 09, 2000","Location:Fort Wayne, Indiana",Operator:Superior Aviation,Aboard:1   (passengers:0  crew:1),Fatalities:1   (passengers:0  crew:1),"Summary:During takeoff, the cargo plane struck trees, crashed and caught fire. The indicated failure of the right hand AC bus during takeoff with low ceiling. The factors were the low ceiling, night, and the execssive workload the pilot experienced on takeoff with an electrical failure without a second in command."
"Date:November 15, 2000","Location:Near Luanda, Angola",Operator:Asa Pesada,Aboard:57   (passengers:52  crew:5),Fatalities:57   (passengers:52  crew:5),Summary:The plane crashed and exploded in flames into an open field 3 miles from the runway shortly after takeoff.  Engine failure.
"Date:November 20, 2000","Location:Miami, Florida",Operator:American Airlines,Aboard:114   (passengers:105  crew:9),Fatalities:1   (passengers:0  crew:1),"Summary:After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac."
